time,Bx,By,Bz,BT,point
6.60749626159668,-29.090000000000003,10.070000000000002,-36.44,47.7,1
6.705848217010498,-29.084600000000005,10.050900000000002,-36.4241,47.681000000000004,1
6.808529138565064,-29.0787,10.038200000000002,-36.4099,47.664300000000004,1
6.910060167312622,-29.070300000000003,10.0236,-36.39939999999999,47.648500000000006,1
7.009965181350708,-29.0639,10.010699999999998,-36.397400000000005,47.640800000000006,1
7.110443115234375,-29.057100000000005,10.0008,-36.3916,47.6305,1
7.208937168121338,-29.050400000000003,9.9896,-36.383700000000005,47.618300000000005,1
7.3112640380859375,-29.045,9.9795,-36.377,47.6079,1
7.411415100097656,-29.041800000000002,9.973500000000001,-36.380300000000005,47.6073,1
7.514902114868164,-29.0395,9.968900000000001,-36.3884,47.611200000000004,1
7.6112060546875,-29.040200000000002,9.972600000000002,-36.39990000000001,47.62130000000001,1
7.714515209197998,-29.044,9.9822,-36.4127,47.63550000000001,1
7.811936140060425,-29.049599999999998,9.989500000000001,-36.428900000000006,47.6529,1
7.897505283355713,-29.058900000000005,9.998100000000003,-36.44350000000001,47.6716,1
7.999022960662842,-29.0646,10.005500000000001,-36.4555,47.6858,1
8.098539113998413,-29.069200000000002,10.0111,-36.4752,47.7049,1
8.199929237365723,-29.0763,10.020500000000002,-36.4992,47.7296,1
8.300143241882324,-29.082800000000002,10.028000000000002,-36.5223,47.7529,1
8.400575160980225,-29.086000000000002,10.032400000000003,-36.53930000000001,47.76890000000001,1
8.500907182693481,-29.086400000000005,10.032800000000002,-36.5578,47.783500000000004,1
8.622030258178711,-29.084600000000002,10.029600000000002,-36.5744,47.79450000000001,1
8.718636989593506,-29.0798,10.024000000000001,-36.588100000000004,47.800900000000006,1
8.819148063659668,-29.074800000000003,10.0179,-36.59490000000001,47.80180000000001,1
8.920982122421265,-29.0685,10.013100000000001,-36.604800000000004,47.804500000000004,1
9.020086288452148,-29.0662,10.013700000000002,-36.6141,47.81040000000001,1
9.120975017547607,-29.065800000000003,10.014100000000001,-36.620200000000004,47.81490000000001,1
9.220163106918337,-29.064999999999998,10.0123,-36.618700000000004,47.8128,1
9.322360038757324,-29.0651,10.0162,-36.6135,47.80970000000001,1
9.422012090682983,-29.066000000000003,10.02,-36.609300000000005,47.80780000000001,1
9.52510404586792,-29.070300000000007,10.0274,-36.5993,47.804300000000005,1
9.622075080871582,-29.074900000000007,10.0333,-36.58460000000001,47.7971,1
9.721739292144775,-29.082300000000004,10.039400000000002,-36.5693,47.791199999999996,1
9.822953224182127,-29.090000000000007,10.0449,-36.5555,47.7865,1
9.922980070114136,-29.098600000000005,10.049,-36.53960000000001,47.780499999999996,1
10.027551174163818,-29.1065,10.046499999999998,-36.522400000000005,47.77149999999999,1
10.125655174255373,-29.117800000000003,10.046300000000002,-36.4981,47.759599999999985,1
10.225697994232178,-29.1291,10.044400000000003,-36.47970000000001,47.75189999999999,1
10.326210975646973,-29.138400000000004,10.038000000000002,-36.466499999999996,47.74589999999999,1
10.424643993377686,-29.150200000000005,10.033100000000001,-36.4553,47.7433,1
10.529158115386965,-29.158800000000003,10.0281,-36.4466,47.74059999999999,1
10.626684188842772,-29.166700000000006,10.023700000000002,-36.44499999999999,47.742999999999995,1
