time,Bx,By,Bz,BT,point
4.295779,-30.56000000000001,10.500000000000002,-39.0,50.650000000000006,1
4.305891,-30.437800000000003,10.4533,-38.9533,50.529900000000005,1
4.315861,-30.321000000000005,10.4066,-38.91720000000001,50.4215,1
4.325875,-30.218500000000006,10.3642,-38.877500000000005,50.31980000000001,1
4.33582,-30.134000000000004,10.316799999999999,-38.8378,50.22800000000001,1
4.345927,-30.066900000000004,10.2669,-38.79800000000001,50.14610000000001,1
4.355859,-30.018600000000003,10.2156,-38.75940000000001,50.07630000000001,1
4.365946,-29.987000000000002,10.167399999999999,-38.723200000000006,50.019200000000005,1
4.378525,-29.969700000000003,10.1237,-38.69570000000001,49.97840000000001,1
4.385689,-29.966699999999996,10.0875,-38.678200000000004,49.9556,1
4.395758,-29.9735,10.058700000000002,-38.67750000000001,49.953500000000005,1
4.405907,-29.988899999999997,10.034900000000002,-38.69,49.96780000000001,1
4.416297,-30.0088,10.022900000000002,-38.706900000000005,49.99050000000001,1
4.427318,-30.0268,10.017800000000001,-38.7368,50.023500000000006,1
4.437433,-30.041100000000004,10.024700000000001,-38.773500000000006,50.06200000000001,1
4.445783,-30.059100000000004,10.037200000000002,-38.81270000000001,50.106,1
4.455908,-30.077600000000007,10.054700000000002,-38.844500000000004,50.1456,1
4.466836,-30.102500000000006,10.072200000000002,-38.8732,50.186600000000006,1
4.475815,-30.137400000000007,10.089000000000002,-38.8906,50.224700000000006,1
4.485941,-30.179100000000005,10.107600000000001,-38.8994,50.260500000000015,1
4.495794,-30.227100000000014,10.124400000000001,-38.902699999999996,50.29530000000001,1
4.505777,-30.278900000000014,10.139300000000002,-38.900299999999994,50.32770000000001,1
4.516008,-30.335600000000007,10.148000000000001,-38.891600000000004,50.357000000000006,1
4.525892,-30.396000000000008,10.156200000000002,-38.877900000000004,50.38470000000001,1
4.535808,-30.462000000000003,10.163700000000004,-38.8673,50.418000000000006,1
4.551846,-30.520000000000003,10.171800000000005,-38.8617,50.450300000000006,1
4.555849,-30.5713,10.178700000000003,-38.87230000000001,50.49070000000001,1
4.56585,-30.6075,10.184900000000003,-38.895399999999995,50.53160000000001,1
4.575691,-30.626200000000004,10.188600000000001,-38.9323,50.57220000000002,1
